Rented Bike Count,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Month
31,5,-6.3,65,3.9,1521,-11.8,0,0,0.3,2
31,16,8.1,96,1.5,281,7.4,0.21,1,0,4
32,5,-2.6,49,1.1,1065,-11.8,0,0,0,1
32,3,-15.2,30,3.4,2000,-28.9,0,0,0.9,1
32,3,-16,40,1.9,2000,-26.5,0,0,0.7,1
32,4,-12,36,2.7,1998,-24,0,0,0,2
32,5,-2.4,33,3.1,2000,-16.5,0,0,0,2
32,3,0.9,97,1.2,243,0.4,0,3.7,4.1,2
32,6,3.1,89,0.2,903,1.4,0,1.5,0,3
32,9,14.1,98,1.1,253,13.7,0.06,17,0,3
32,19,15.2,64,1.7,1185,8.4,0.02,0.5,0,4
32,0,15.8,97,2.4,181,15.3,0,3.5,0,5
33,4,-11.5,57,2.3,1899,-18.3,0,0,0,1
33,6,-15.3,47,0.7,1921,-24,0,0,0.3,1
33,4,-11.1,50,1.2,1986,-19.4,0,0,0,1
33,6,-7.8,57,4.8,1867,-14.8,0,0.4,0.3,2
33,3,-11.3,54,0.6,2000,-18.7,0,0,0,2
33,4,-8.6,31,3.5,2000,-22.7,0,0,0,2
33,6,3,96,2.7,303,2.4,0,0.4,0,3
34,5,-15.6,29,3.7,2000,-29.6,0,0,0.9,1
34,5,-15.8,37,2.7,2000,-27.1,0,0,0.7,1
34,4,-2.4,82,1.5,877,-5,0,0,3.5,1
34,5,-2.8,83,0.6,946,-5.2,0,0,3.5,1
34,7,-12.4,54,2.5,1790,-19.8,0,0,0,2
34,4,-13.1,54,0.7,1369,-20.4,0,0,0,2
34,4,-7.5,42,2.4,1998,-18.2,0,0,0,2
34,3,-4.5,28,3,2000,-20.3,0,0,0,2
34,4,8.8,95,0.2,218,8,0,0,0,3
34,4,9.5,94,1.2,2000,8.5,0,0.5,0,4
34,1,11.3,58,1.3,2000,3.3,0,0,0,5
34,16,13.8,97,0.7,196,13.3,0.12,1.5,0,5
34,2,15,97,2.5,236,14.5,0,3,0,5
35,5,-14.6,45,1.1,2000,-23.9,0,0,0,1
35,4,-5.6,74,4,387,-9.5,0,0,0.2,2
35,4,-11.2,47,2.3,2000,-20.3,0,0,0,2
35,4,-4.5,42,1.4,1944,-15.5,0,0,0,2
35,7,-6.8,32,1.6,2000,-20.7,0,0,0,2
35,3,9.6,94,1.3,523,8.6,0,2.4,0,4
35,23,20,98,1.8,589,19.6,0,2.5,0,5
36,6,-3.1,54,1.4,1037,-11.1,0,0,0,1
36,5,-16.9,38,2.3,2000,-27.9,0,0,0.5,1
36,4,-15.3,47,0.8,1868,-24,0,0,0.3,1
36,3,-11.6,35,3.2,1992,-24,0,0,0,2
36,5,-4.2,44,1.1,1196,-14.6,0,0,0,2
36,3,-4.4,37,1.7,1989,-16.9,0,0,0,2
36,4,1.1,96,2.5,241,0.5,0,0,3.9,2
37,4,-7.1,56,1.8,1841,-14.4,0,0,1.6,2
37,5,-11.6,45,2.4,2000,-21.1,0,0,0,2
37,4,-4.1,27,0.6,2000,-20.3,0,0,0,2
37,5,-0.7,41,0.9,1442,-12.3,0,0,0,2
37,15,8.1,96,1.9,410,7.4,0.26,0.5,0,4
37,20,9.4,95,1.6,740,8.6,0,1,0,4
37,6,14.4,71,1.3,560,9.2,0,0.4,0,5
37,6,22.5,83,0.8,537,19.4,0,0.4,0,6
38,4,-7.5,55,1.3,1984,-15,0,0,0,1
38,6,-5.5,52,0.7,1503,-13.8,0,0,0,1
38,4,-4.3,59,4.4,1451,-11.1,0,0,0.9,1
38,3,-11.2,59,2.9,1872,-17.6,0,0,0,1
38,4,4.9,73,1.8,881,0.4,0,0,0,1
38,4,-7.6,37,1.6,1966,-19.8,0,0,0,1
38,6,-4.1,30,1.1,2000,-19.1,0,0,0,2
38,1,6.7,84,0.8,320,4.1,0,0,0,3
38,7,7.1,94,2.2,572,6.1,0,1.5,0,4
38,3,21.8,98,0.6,113,21.4,0,2.5,0,5
39,5,-7.3,75,1.6,2000,-10.9,0,0,0.8,1
39,2,-11.2,55,1.5,2000,-18.4,0,0,0,2
39,5,-9,56,0.4,1678,-16.1,0,0,0,2
39,6,-8.4,33,1.4,1963,-21.8,0,0,0,2
39,6,-2.6,38,1,2000,-15,0,0,0,2
39,6,-6.2,32,2.5,2000,-20.2,0,0,0,2
39,5,1,91,0.7,257,-0.3,0,0,3.8,2
39,8,14.1,97,1.1,342,13.6,0,0,0,3
39,4,10.3,72,1,2000,5.4,0,0.8,0,4
39,18,9.4,96,1.9,600,8.7,0.07,1,0,4
40,5,-5.6,58,0.7,1350,-12.5,0,0,0,1
40,3,-6.1,70,1.1,2000,-10.6,0,0.3,0.8,1
40,5,-6.3,51,0.8,2000,-14.8,0,0,0,1
40,5,-12.3,37,2.9,2000,-24,0,0,0,2
40,7,-9.2,34,2,1945,-22.2,0,0,0,2
41,3,-2.5,62,0.4,1626,-8.7,0,0,0,1
41,3,-15.9,34,2.9,2000,-28.2,0,0,0.5,1
41,3,-15.3,43,0.8,1963,-25,0,0,0.3,1
41,5,1.8,75,2,484,-2.1,0,0,0,2
41,1,10.6,87,2.3,1523,8.5,0,0.1,0,4
41,16,9.6,96,1.7,1409,8.9,0.23,1,0,4
42,5,-11.9,61,1.8,1759,-17.9,0,0,0,1
42,3,-14.1,45,1.8,2000,-23.4,0,0,0,1
42,6,-6.4,59,0.6,887,-13.1,0,0,0,1
42,7,-8,39,1.9,2000,-19.5,0,0,0,1
42,3,-1.4,41,1.6,1870,-12.9,0,0,0,2
42,0,1.7,86,2.7,54,-0.3,0,0.4,0.4,2
42,17,11.8,60,2.9,1457,4.2,0.6,0,0,4
42,1,9.3,45,0.8,1263,-2,0,0,0,4
42,17,9.4,95,1.9,660,8.6,0.11,0.5,0,4
43,4,-6.1,45,2.3,2000,-16.1,0,0,0,1
43,7,-6.5,68,0.6,571,-11.4,0,0,0,1
43,17,1.3,93,1.2,81,0.2,0.03,0,0.2,1
43,4,1.1,95,0.5,345,0.3,0,0,0,4
43,10,7.7,94,1,685,6.7,0.28,1.5,0,4
43,3,16.2,94,1.7,400,15.2,0,1.5,0,5
43,7,13.3,81,1.5,525,10.1,0.04,0.1,0,5
43,3,14.9,96,2.2,636,14.2,0,0.5,0,5
44,5,-10.5,46,3,2000,-19.9,0,0,1,1
44,19,2.5,94,1.8,349,1.6,0,1,0,4
45,4,-9.5,49,4.3,2000,-18.2,0,0,1,1
45,5,-13,53,0.7,1810,-20.5,0,0,0,2
45,2,-8.3,49,2.7,2000,-17.1,0,0,0,2
45,5,3.9,85,1.6,264,1.6,0,0,0,3
45,19,17.6,93,0.3,331,16.4,0.06,1.5,0,5
45,5,23.7,64,0.9,876,16.4,0,0.1,0,6
46,4,1,43,0.8,1253,-10.2,0,0,0,1
46,4,-9,54,0.6,1833,-16.6,0,0,0,2
46,4,-4.4,47,0.9,1343,-14,0,0,0,2
46,4,-6.4,62,1.8,1978,-12.4,0,0,0,2
46,3,-1.9,67,1,1575,-7.2,0,0,0,2
46,4,-2.3,69,1.1,1411,-7.2,0,0,0,2
46,14,8,95,1.5,514,7.2,0.35,0,0,4
46,17,8,96,1.4,298,7.3,0.13,1,0,4
46,17,17.9,65,1.2,965,11.2,0.13,1,0,4
47,4,-5.1,55,1.7,1266,-12.7,0,0,0,1
47,4,-6.4,46,0.8,1993,-16.1,0,0,0,1
47,5,-11.3,53,1.6,1979,-19,0,0,0,1
47,3,-2.2,83,1,977,-4.7,0,0,3.5,1
47,4,-6.7,65,1.1,1705,-12.1,0,0,0,2
47,2,-4.1,38,1.2,1996,-16.3,0,0,0,2
47,4,-5.8,48,1.5,1552,-15,0,0,0,3
47,4,2.8,52,0.6,1249,-6.1,0,0,0,3
47,11,7.1,93,2.6,697,6,0.19,0,0,4
47,3,18.3,98,1.6,320,17.9,0,2,0,5
48,5,-6.1,64,1,1231,-11.8,0,0,0,1
48,4,-4,79,1.2,453,-7.1,0,0,0,1
48,5,-6.8,61,0.2,1724,-13,0,0,0,2
48,6,1.6,78,1.6,448,-1.8,0,0,0,2
48,9,-4.3,33,0.7,1923,-18.2,0.6,0,0,2
48,23,6,79,2,918,2.6,0,0,0,3
48,2,18.8,98,1.5,237,18.4,0,0.5,0,5
49,6,-4.3,79,1.1,433,-7.4,0,0,0,1
49,2,-10.2,47,0.9,1808,-19.3,0,0,0,1
49,7,-5.4,41,0.3,2000,-16.6,0,0,0,2
49,3,-5.7,50,1.7,1559,-14.4,0,0,0,3
49,4,2.6,61,1.7,1998,-4.1,0,0,0,3
49,0,5.2,83,1.5,733,2.5,0,0.5,0,3
49,7,21.2,87,0.8,376,18.9,0.03,1.5,0,6
50,4,3.3,80,2.1,232,0.1,0,0,0,1
50,6,-0.1,60,0.4,1080,-6.9,0,0,0,1
50,2,-15.2,32,3.1,2000,-28.2,0,0,0.9,1
50,5,-10.4,47,1,1921,-19.5,0,0,0,1
50,4,-1.9,44,0.7,1907,-12.5,0,0,0,2
50,4,-3.8,32,1.1,2000,-18.1,0,0,0,2
50,1,7.2,95,0.2,683,6.4,0,0.5,0,4
50,19,9.4,95,1.8,531,8.6,0.03,1.5,0,4
50,23,15.8,98,1.6,235,15.4,0,1,0,5
50,17,18.6,84,1.8,499,15.8,0.28,1,0,5
51,4,0.8,65,0.7,502,-5,0,0,0,1
51,5,-7.8,65,2.3,1737,-13.2,0,0,1.6,2
51,3,-12.5,49,1.5,1885,-21,0,0,0,2
51,5,-6.7,64,1.6,1981,-12.3,0,0,0,2
51,4,1.1,67,1.7,1506,-4.3,0,0,0,2
51,3,16.5,69,2.4,1659,10.7,0,0,0,3
51,4,19.2,98,2.4,1965,18.8,0,19,0,5
52,3,-3.4,67,3.2,1420,-8.6,0,0,0.9,1
52,5,-5.1,48,3.2,1821,-14.4,0,0,0.9,1
52,1,-11.2,54,1,2000,-18.6,0,0,0,2
52,7,-4.6,31,1.2,2000,-19.2,0,0,0,2
52,4,-1.1,43,0.7,1558,-12.1,0,0,0,2
52,3,1.6,94,0.3,426,0.7,0,0,0,4
52,11,8.1,94,1.2,802,7.1,0.39,0.5,0,4
52,5,22.3,87,0.6,399,20,0,0,0,5
53,3,0.9,43,0.4,1261,-10.2,0,0,0,1
53,3,-0.3,31,0.3,2000,-15.4,0,0,0,1
53,17,-2.4,85,0.3,174,-4.5,0.06,0,0.6,1
53,23,7.4,80,1.3,471,4.1,0,0,0,3
53,8,20.8,94,1,159,19.7,0.05,3.5,0,6
54,2,-15.6,33,2.2,2000,-28.2,0,0,0.5,1
54,3,-10.7,42,1.4,2000,-21.1,0,0,0,1
54,3,-10.6,47,3.7,2000,-19.7,0,0,0,2
54,6,-0.8,44,0.6,1541,-11.5,0,0,0,2
54,5,6.3,97,1.7,787,5.8,0,0.5,0,4
54,5,18.8,97,0.9,1927,18.3,0,0,0,5
55,5,5,76,1.9,808,1.1,0,0,0,1
55,4,3,68,0.5,322,-2.3,0,0,0,1
55,3,-8.6,68,3.3,2000,-13.4,0,0,1,1
55,7,-3,40,0.9,2000,-14.7,0,0,0,2
55,1,0.6,96,2.1,118,0,0,0,4,2
55,5,0.8,39,1,1463,-11.6,0,0,0,3
56,5,-0.3,62,0.6,862,-6.7,0,0,0,1
56,5,1,68,0.6,1519,-4.2,0,0,0,2
56,2,-3.8,30,3.9,2000,-18.8,0,0,0,2
56,3,-4.5,26,0,2000,-21.1,0,0,0,2
56,20,7.3,96,1.9,2000,6.6,0,0,0,4
56,0,7.2,95,0.9,861,6.4,0,0.5,0,4
56,16,23.3,96,3.4,441,22.6,0.08,1,0,6
57,3,-7.4,54,1.7,1968,-15.1,0,0,0,1
57,7,-15.7,53,1.3,1629,-23.1,0,0,0.3,1
57,3,-8.6,64,0.9,1754,-14.1,0,0,0,2
57,5,1.6,62,4.9,1372,-4.9,0,0,0,4
58,5,-3.1,67,0.6,1384,-8.3,0,0,0,1
58,3,4.4,70,1.7,928,-0.6,0,0,0,1
58,5,1.1,64,0.5,505,-4.9,0,0,0,1
58,4,-0.7,45,1.4,1241,-11.1,0,0,0,1
58,3,-7.2,43,2,2000,-17.6,0,0,0,2
58,4,-1.9,34,3,2000,-15.7,0,0,0,2
58,5,1.8,84,2.7,214,-0.6,0,0,0,2
58,17,4.3,80,2.6,1357,1.1,0.23,0.1,0,4
58,21,17,85,1.1,597,14.4,0,0.5,0,5
59,7,-4.4,80,1.4,411,-7.3,0,0,0,1
59,19,-1.7,91,1.1,167,-2.9,0,0,3,1
59,2,-11.2,36,2.9,1981,-23.3,0,0,0,2
59,2,-1.4,41,1.1,1582,-12.9,0,0,0,2
59,5,-1.8,44,0.5,1862,-12.4,0,0,0,2
59,3,-3.4,32,0.9,1977,-17.7,0,0,0,2
59,5,1.3,51,1.6,2000,-7.7,0,0,0,4
59,12,22.9,87,4,1497,20.6,0.22,0,0,5
59,4,15,97,1.4,1827,14.5,0,0,0,5
60,7,-5.6,58,0.9,1368,-12.5,0,0,0,1
60,5,0,32,0.7,2000,-14.7,0,0,0,1
60,2,-16,42,1.3,2000,-25.9,0,0,0.7,1
60,21,-1.6,91,1.3,508,-2.8,0,1.5,3.5,1
60,2,-1.6,80,1.4,1097,-4.6,0,0,3.5,1
60,3,-4.4,80,4.3,346,-7.3,0,0.1,0.1,2
60,2,-10.5,49,2,2000,-19.1,0,0,0,2
60,3,2.3,48,0.8,1448,-7.6,0,0,0,3
60,5,1,62,0.9,2000,-5.4,0,0,0,3
60,5,5,83,0.7,200,2.3,0,0,0,3
61,5,-4.4,54,0.8,1786,-12.3,0,0,0,1
61,4,-5.9,61,1.1,1260,-12.2,0,0,0,1
61,0,-5.2,82,0.8,152,-7.7,0,0.5,0.5,1
61,5,-1.4,47,1.4,1301,-11.2,0,0,0,1
61,7,-3.2,54,1.2,1113,-11.2,0,0,0,1
61,7,2.6,89,4.3,320,0.9,0,0,0,3
62,4,-4.2,53,1.1,1994,-12.3,0,0,0,1
62,4,-5.1,60,0.7,1377,-11.6,0,0,0,1
62,1,-9.8,47,1.3,1934,-19,0,0,0,1
62,23,-1.7,83,1,1093,-4.2,0,0,3.5,1
62,2,0.7,97,1.4,197,0.2,0,0,4.1,2
62,4,0.9,46,0.8,1140,-9.4,0,0,0,2
62,5,5.2,59,1.7,437,-2.1,0,0,0,2
62,3,5.5,96,1.6,72,4.9,0,0,0,3
62,3,12.1,41,1,2000,-0.7,0,0.2,0,4
62,15,13.1,54,4.1,1264,3.9,1.98,0,0,4
63,2,-5.7,72,1.2,1925,-9.9,0,0,0.8,1
63,15,3.6,69,1.8,655,-1.5,0.17,0,0,1
63,6,-3.1,80,0.7,1215,-6,0,0,3.5,1
63,3,-1.3,80,0.7,392,-4.3,0,0,0,2
63,5,-4,35,1.8,2000,-17.2,0,0,0,2
63,6,0.4,95,0.3,197,-0.3,0,0,3.8,2
63,4,2.7,82,2.8,222,0,0,0,0,2
63,6,3.4,85,1.5,234,1.1,0,0,0,3
63,18,16.1,73,1.3,1298,11.2,0.11,0.5,0,4
63,12,17.3,95,0.7,155,16.4,0.16,3.5,0,5
64,6,-17.4,40,1.6,2000,-27.7,0,0,0.5,1
64,4,-1.6,83,0.6,368,-4.1,0,0,0,2
64,7,3,90,0.7,578,1.5,0,0,0,3
65,6,-4.5,51,1.1,2000,-13.1,0,0,0,1
65,3,-6.3,63,0.9,1425,-12.2,0,0,0,2
65,5,-2.5,73,0.8,1134,-6.6,0,0,0,2
65,5,-6.1,49,1,1621,-15.1,0,0,0,3
65,11,13.9,98,1.4,296,13.5,0.13,0,0,3
65,4,5.5,96,2,53,4.9,0,0,0,3
65,5,5.8,85,1.3,829,3.4,0,0,0,4
65,15,21.5,97,0.6,311,20.9,0.21,4.5,0,6
65,17,22.2,92,1.2,254,20.8,0.11,4.9,0,6
66,5,-7.6,49,1.3,2000,-16.4,0,0,0,1
66,4,-2.4,58,0.3,2000,-9.5,0,0,0,2
66,4,2.5,76,1,403,-1.3,0,0,0,3
67,3,-6.1,45,1.3,1999,-16.1,0,0,0,1
67,5,-6.4,47,2.4,1981,-15.8,0,0,0,1
67,3,-5.5,56,1.1,1453,-12.9,0,0,0,1
67,5,0.8,42,1,1394,-10.6,0,0,0,1
67,8,-6.5,72,0.8,670,-10.7,0,0,0.2,1
67,3,-7.7,49,1.8,1573,-16.5,0,0,0,1
67,7,-8.8,58,4,1942,-15.5,0,0,0.3,2
67,5,5.6,55,1.2,1008,-2.7,0,0,0,3
67,0,7,81,1.1,421,3.9,0,0.5,0,3
67,6,17.9,93,0.9,202,16.7,0,0.1,0,5
68,5,2.6,82,2,229,-0.1,0,0,0,1
68,1,-16.1,42,2.2,2000,-26,0,0,0.7,1
68,0,-15.1,34,1.7,2000,-27.4,0,0,0.5,1
68,8,-5.4,38,0.7,2000,-17.5,0.04,0,0,2
68,2,10.1,83,1.4,2000,7.3,0,0.1,0,4
69,2,-2.3,62,0.9,1560,-8.6,0,0,0,1
69,6,-6.5,67,0.7,1175,-11.6,0,0,0,1
69,0,-1.7,83,0.8,1113,-4.2,0,0,3.5,1
69,1,-7.9,52,3.7,1961,-16,0,0,0,2
69,4,4.4,44,3.1,2000,-6.8,0,0,0,3
69,6,18.9,98,0.3,338,18.5,0,0,0,5
70,8,-12.8,56,2.4,1507,-19.7,0.02,0,0,2
70,3,-6.2,61,1.3,1992,-12.5,0,0,0,2
70,8,8.3,97,0.6,152,7.8,0.01,0,0,3
70,22,8.1,76,0.8,492,4.1,0,0,0,3
70,4,1.3,39,2.3,2000,-11.1,0,0,0,3
70,12,7.3,95,2.2,676,6.5,0.3,0.5,0,4
70,13,8.8,93,1.7,597,7.7,0.38,0,0,4
70,5,15,61,1.2,903,7.5,0,0,0,5
71,6,-15.7,29,2.5,2000,-29.7,0,0,0.9,1
71,6,-16.1,33,3,2000,-28.7,0,0,0.7,1
71,1,-3.1,36,3.5,2000,-16,0,0,0,2
71,3,-2.8,57,0.5,1995,-10.1,0,0,0,2
71,0,2,96,1.3,1894,1.4,0,2,0,3
71,2,-5.3,52,1.2,1434,-13.6,0,0,0,3
71,6,0.5,42,0.9,1543,-10.9,0,0,0,3
71,21,8.8,72,0.9,501,4,0,0,0,3
71,6,4.6,84,0.7,193,2.1,0,0,0,3
71,12,15.7,96,1.1,568,15,0.5,3,0,5
72,5,2.9,66,0.8,325,-2.8,0,0,0,1
72,2,-7.8,51,1.9,1627,-16.1,0,0,0,1
72,8,-8.1,43,1.7,1943,-18.5,0,0,0,1
72,20,-1.5,91,1.7,270,-2.7,0,0,3.3,1
72,6,1.2,83,2.5,245,-1.3,0,0,0,2
72,5,0.6,50,0.1,1026,-8.6,0,0,0,2
72,4,5.4,56,1.7,472,-2.6,0,0,0,2
72,5,13.5,98,0.8,105,13.1,0,0,0,5
72,4,18,93,1.6,627,16.8,0,10.5,0,6
73,4,-2.3,47,0.7,984,-12.1,0,0,0,1
73,2,-0.2,33,1.4,2000,-14.5,0,0,0,1
73,22,-1.7,85,1.2,1006,-3.8,0,0,3.5,1
73,6,5.7,54,1.7,1208,-2.9,0,0,0,3
74,2,3.6,65,0.9,959,-2.3,0,0,0,1
74,3,-1.4,34,2.1,2000,-15.2,0,0,0,2
74,6,1.1,78,1.1,538,-2.3,0,0,0,3
74,2,17.3,82,2.1,768,14.1,0,0.5,0,5
75,5,-5.1,55,1.5,1452,-12.7,0,0,0,1
75,2,-2.9,66,3.3,1515,-8.3,0,0,1,1
75,3,3,67,0.8,297,-2.5,0,0,0,1
75,2,-7.5,65,3.9,2000,-12.9,0,0,1,1
75,2,-15.3,43,0.6,1867,-25,0,0,0.3,1
75,5,-2.4,59,1.1,1984,-9.3,0,0,0,2
75,4,1.3,87,2.2,937,-0.6,0,0,0,3
75,18,7.6,96,2,660,6.9,0.04,0,0,4
75,19,7.6,96,1.5,1309,6.9,0,1.5,0,4
75,22,15.8,83,5.4,691,12.9,0,1.5,0,4
75,12,8.6,94,1.1,389,7.6,0.49,0,0,4
75,4,5.9,68,0.7,1590,0.4,0,0,0,4
76,5,18.4,87,0.8,209,16.1,0,0.4,0,5
77,2,0.8,42,0.5,1275,-10.6,0,0,0,1
77,3,-6.5,42,0.7,1996,-17.3,0,0,0,1
77,23,-10.3,48,2,2000,-19.2,0,0,0,2
77,1,-3.6,35,2,1943,-16.8,0,0,0,2
77,7,-1,47,0.9,1552,-10.9,0,0,0,2
77,22,7.2,96,1,700,6.5,0,0,0,4
77,5,9.4,93,1.3,2000,8.3,0,0,0,4
77,6,17.4,98,0.3,234,17,0,0,0,5
78,1,-5.6,75,1.7,1982,-9.3,0,0,0.8,1
78,0,-15.9,43,3.8,2000,-25.6,0,0,0.7,1
78,22,-9.7,45,1.3,2000,-19.4,0,0,0,2
78,3,-5.2,48,0.7,1309,-14.5,0,0,0,2
78,10,-1.3,32,1.5,1933,-15.9,1.24,0,0,2
78,2,21.8,97,1.3,175,21.2,0,1,0,5
79,3,-3.6,78,1.6,471,-6.8,0,0,0,1
79,23,-14.9,35,2.8,2000,-26.9,0,0,0.5,1
79,4,1.9,74,1.2,514,-2.2,0,0,0,2
79,0,-2.7,41,3.2,1695,-14.1,0,0,0,2
79,5,-1.8,82,1.3,375,-4.4,0,0,0,2
79,4,-0.5,75,0.6,1967,-4.3,0,0,0,3
79,5,0.8,80,0.3,565,-2.2,0,0,0,3
79,23,7.1,96,1.3,1497,6.5,0,0.5,0,4
80,23,-4.9,80,0.7,690,-7.8,0,0,0.2,1
80,0,-15,42,1.2,1766,-25,0,0,0.3,1
80,0,-9.3,45,0.7,1976,-19,0,0,0,1
80,8,-7.1,30,1.7,1991,-21.7,0.04,0,0,2
80,2,-1.7,66,0.8,1631,-7.2,0,0,0,2
80,5,-0.9,78,0.6,1687,-4.2,0,0,0,3
80,4,4.2,81,1.3,333,1.2,0,0,0,3
80,5,1.3,40,2.3,2000,-10.8,0,0,0,3
80,4,1.6,70,3.6,1392,-3.2,0,0.1,0,4
80,7,19.1,98,0.3,125,18.7,0,0,0,5
81,7,-4.7,56,1.1,2000,-12.1,0,0,0,1
81,8,-3.8,79,0.8,412,-6.9,0,0,0,1
81,3,0.3,70,0.6,438,-4.5,0,0,0,1
81,23,-8.7,42,2.1,1981,-19.3,0,0,0,1
81,3,-6.2,57,1.6,1874,-13.3,0,0,1.6,2
81,8,-9.4,29,1.9,1967,-24.1,0.03,0,0,2
81,5,1.1,88,0.9,927,-0.6,0,0,0,3
81,0,10.7,94,2.6,477,9.7,0,2,0,4
81,10,22.8,95,1.7,176,21.9,0.05,1,0,5
82,6,-12,61,2.3,1709,-18,0,0,0,1
82,6,4.9,83,3,582,2.2,0,0,0,1
82,23,-15.7,43,3.6,2000,-25.4,0,0,0.7,1
82,0,-10.5,52,2.4,2000,-18.4,0,0,0,2
82,3,0.1,71,0.4,2000,-4.5,0,0,0,3
82,4,14,70,1.5,1648,8.6,0,0,0,3
82,3,1.3,40,2.1,2000,-10.8,0,0,0,3
82,5,4.7,54,1.3,543,-3.8,0,0,0,3
82,21,9.4,94,2.1,869,8.4,0,1.5,0,4
83,2,-13.8,43,2.6,2000,-23.7,0,0,0,1
83,2,-12.5,50,1,1722,-20.8,0,0,0,2
83,4,13.8,98,2.9,27,13.4,0,0,0,5
84,6,-7.7,74,1.1,2000,-11.5,0,0,0.8,1
84,6,-11.5,47,3.2,2000,-20.5,0,0,1,1
84,8,-15.9,58,0.9,1369,-22.2,0,0,0.3,1
84,2,-10.6,40,1,2000,-21.6,0,0,0,1
84,23,-2,51,3.2,1336,-10.8,0,0,0,2
84,13,7.7,95,1.9,442,6.9,0.4,0,0,4
85,7,3.8,87,2.2,2000,1.8,0,0,0,3
85,4,5.7,62,2.4,2000,-1,0,0,0,3
